ticker,company_name,sector,industry,market_cap,country,exchange,yahoo_ticker,stock_id,is_active
IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,IRFC.NS,49,True
INFY.NS,Infosys Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,INFY.NS,50,True
INDIGO.NS,InterGlobe Aviation Ltd.,Services,Services,Large Cap,India,NSE,INDIGO.NS,51,True
JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,JSWSTEEL.NS,52,True
JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,JINDALSTEL.NS,53,True
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,JIOFIN.NS,54,True
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,KOTAKBANK.NS,55,True
LTM.NS,LTIMindtree Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,LTM.NS,56,True
LT.NS,Larsen & Toubro Ltd.,Construction,Construction,Large Cap,India,NSE,LT.NS,57,True
LODHA.NS,Lodha Developers Ltd.,Realty,Realty,Large Cap,India,NSE,LODHA.NS,58,True
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,M&M.NS,59,True
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,MARUTI.NS,60,True
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Large Cap,India,NSE,MAXHEALTH.NS,61,True
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,MAZDOCK.NS,62,True
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,MUTHOOTFIN.NS,63,True
NTPC.NS,NTPC Ltd.,Power,Power,Large Cap,India,NSE,NTPC.NS,64,True
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,NESTLEIND.NS,65,True
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,ONGC.NS,66,True
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,Chemicals,Large Cap,India,NSE,PIDILITIND.NS,67,True
PFC.NS,Power Finance Corporation Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,PFC.NS,68,True
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,Power,Large Cap,India,NSE,POWERGRID.NS,69,True
PNB.NS,Punjab National Bank,Financial Services,Financial Services,Large Cap,India,NSE,PNB.NS,70,True
RECLTD.NS,REC Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,RECLTD.NS,71,True
RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Large Cap,India,NSE,RELIANCE.NS,72,True
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,SBILIFE.NS,73,True
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,MOTHERSON.NS,74,True
SHREECEM.NS,Shree Cement Ltd.,Construction Materials,Construction Materials,Large Cap,India,NSE,SHREECEM.NS,75,True
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,SHRIRAMFIN.NS,76,True
